"supplier","source_file","current_site_name","current_media_type","current_city","current_suburb","current_province","current_site_code","current_discounted_rate_zar","current_rate_card_zar","flags","corrected_site_name","corrected_media_type","corrected_city","corrected_suburb","corrected_province","corrected_site_code","corrected_discounted_rate_zar","corrected_rate_card_zar","correction_notes","verified_source","verified_by"
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Baywest Mall,, Gqiberha","Digital Screen | indoor","Gqeberha (Port Elizabeth) ","Baywest Boulevard","Eastern Cape","","45000","50000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Baywest Mall,, Gqiberha","Digital Screen | indoor","Gqeberha (Port Elizabeth) ","Baywest Boulevard","Eastern Cape","","5000","8000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Baywest Mall,, Gqiberha","Static Entrance Gantry Billboard | Outdoor","Gqeberha (Port Elizabeth) ","Baywest Boulevard Production &","Eastern Cape","","50000","60000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Baywest Mall,, Gqiberha","Static Lift Door Wrap | Indoor + Outdoor","Gqeberha (Port Elizabeth) ","Baywest Boulevard Production &","Eastern Cape","","4500","8000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Baywest Mall,, Gqiberha","Static Revolving Door Panels | Indoor + Outdoor","Gqeberha (Port Elizabeth) ","Baywest Boulevard Production &","Eastern Cape","","8000","10000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Baywest Mall,, Gqiberha","Static Roadside Billboard | Outdoor","Gqeberha (Port Elizabeth) ","Baywest Boulevard Production &","Eastern Cape","","15000","20000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Bloed Street Mall,, Pretoria","Static Lift Door Wrap | Indoor","Pretoria","CBD","Gauteng","","4000","8000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Bloed Street Mall,, Pretoria","Static Taxi Rank Entrance Banner | Indoor","Pretoria","CBD","Gauteng","","10000","15000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Bloed Street Mall,, Pretoria","Static Wall Banner | Indoor","Pretoria","CBD","Gauteng","","5500","8500","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Bloed Street Mall,, Pretoria","Static Wall Banner | Indoor","Pretoria","CBD","Gauteng","","4500","8500","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","Cape Town","Century City","Western Cape","","80000","90000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","Cape Town","Century City","Western Cape","","50000","60000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","Cape Town","Century City","Western Cape","","20000","30000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","Cape Town","Century City","Western Cape","","20000","30000","possible_duplicate_row;wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
