"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"ooh","site","Eastern Cape","East London","Cambridge","Cambridge","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Digital Screen | indoor","","","N/A","","Digital Screen | indoor","6000","8000","","","","","","","","false","true","ooh_site:b84a3518-78f1-459e-b042-b31d0a861417","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Exit Wall Banner | indoor","","","N/A","","Static Exit Wall Banner | indoor","6500","8500","","","","","","","","false","true","ooh_site:f6f98ced-a366-4a45-a303-b27b52d7882d","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Parking Wall | Outdoor","","","N/A","","Static Parking Wall | Outdoor","12000","15000","","","","","","","","false","true","ooh_site:67ed9381-9095-4299-a5a5-d876299f65cf","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Atrium Walls | indoor","","","N/A","","Static Atrium Walls | indoor","5000","8000","","","","","","","","false","true","ooh_site:6395c523-a039-4522-89ce-3f2b437b0f5c","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Glass Wall Wrap | Outdoor","","","N/A","","Static Glass Wall Wrap | Outdoor","10000","12000","","","","","","","","false","true","ooh_site:f886d328-add2-47f0-aeb8-0cd0f7b47865","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Elevator Panels | indoor","","","N/A","","Static Elevator Panels | indoor","8000","10000","","","","","","","","false","true","ooh_site:102b5f70-9108-40af-81fd-1215a3c322a6","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Wall Banners | indoor","","","N/A","","Static Wall Banners | indoor","6000","8000","","","","","","","","false","true","ooh_site:5025da35-d4a3-4fb1-b3cd-11eef60f8466","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Escalator Wrap | indoor","","","N/A","","Static Escalator Wrap | indoor","10000","15000","","","","","","","","false","true","ooh_site:0c2a5fe8-8ff4-4d61-9351-84adf57b163e","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Lift Wrap | indoor","","","N/A","","Static Lift Wrap | indoor","5500","8500","","","","","","","","false","true","ooh_site:de4dbc49-b3be-4c16-9576-4a8334e4d61b","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Sky Cube | indoor","","","N/A","","Static Sky Cube | indoor","10000","15000","","","","","","","","false","true","ooh_site:9d585900-d9b3-4d5e-84f0-46d7329bc5c9","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","Eastern Cape","","BlackSpace","Hemingways Mall,, East London","Static Hanging Banners | indoor","","","N/A","","Static Hanging Banners | indoor","6000","8000","","","","","","","","false","true","ooh_site:0b5e78a8-ac75-47d7-acb6-9dea66539e03","ooh"
"ooh","site","Eastern Cape","Gqeberha (Port Elizabeth) ","Baywest Boulevard","Baywest Boulevard","Eastern Cape","","BlackSpace","Baywest Mall,, Gqiberha","Digital Screen | indoor","","","N/A","","Digital Screen | indoor","45000","50000","","","","","","","","false","true","ooh_site:cd623431-b0f3-4f0f-a784-310d2f19aefc","ooh"
"ooh","site","Eastern Cape","Gqeberha (Port Elizabeth) ","Baywest Boulevard","Baywest Boulevard","Eastern Cape","","BlackSpace","Baywest Mall,, Gqiberha","Digital Screen | indoor","","","N/A","","Digital Screen | indoor","5000","8000","","","","","","","","false","true","ooh_site:37b71891-ad0b-4195-a527-f57c232bec8b","ooh"
