inventory_key,channel,inventory_row_type,source_table,source_id,source_type,outlet_code,outlet_name,inventory_name,media_subtype,package_name,slot_label,day_group,start_time,end_time,province,city,suburb,area,region_cluster_code,market_scope,coverage_type,market_tier,language_display,language_notes,broadcast_frequency,duration_seconds,rate_type,cost_zar,raw_rate_zar,investment_zar,cost_per_month_zar,value_zar,exposure_count,monthly_exposure_count,duration_weeks,duration_months,is_available,package_only,is_national,has_pricing,listenership_daily,listenership_weekly,listenership_period,existing_target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,existing_audience_racial_skew,existing_urban_rural_mix,existing_audience_keywords,existing_source_notes,enrich_target_audience,enrich_audience_age_skew,enrich_audience_gender_skew,enrich_audience_lsm_range,enrich_audience_racial_skew,enrich_urban_rural_mix,enrich_audience_keywords,enrich_buying_behaviour_fit,enrich_price_positioning_fit,enrich_sales_model_fit,enrich_objective_fit_primary,enrich_objective_fit_secondary,enrich_environment_type,enrich_premium_mass_fit,enrich_data_confidence,enrich_notes
ooh_site:cd623431-b0f3-4f0f-a784-310d2f19aefc,ooh,site,inventory_items_final,cd623431-b0f3-4f0f-a784-310d2f19aefc,ooh,,BlackSpace,"Baywest Mall,, Gqiberha",Digital Screen | indoor,,,,,,Eastern Cape,Gqeberha (Port Elizabeth) ,Baywest Boulevard,Baywest Boulevard,eastern-cape,Eastern Cape,,,N/A,,,,Digital Screen | indoor,45000,50000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,896 000 | 6m (h) x 12m (w) = 72m?,"","","","","","","","","","","","","","","",""
ooh_site:5dca4619-7a54-4704-8df1-6672970f2452,ooh,site,inventory_items_final,5dca4619-7a54-4704-8df1-6672970f2452,ooh,,BlackSpace,"Baywest Mall,, Gqiberha",Static Lift Door Wrap | Indoor + Outdoor,,,,,,Eastern Cape,Gqeberha (Port Elizabeth) ,Baywest Boulevard Production &,Baywest Boulevard Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Lift Door Wrap | Indoor + Outdoor,4500,8000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,"896 000 | 2,1m (h) x 1,5m (w) = 3,36m? | Contra Vision | Vinyl | Yes | 10 000
 100 Baywest Boulevard, Hunters","","","","","","","","","","","","","","","",""
ooh_site:004e0b3d-5309-48ad-adf4-d6eafaf13503,ooh,site,inventory_items_final,004e0b3d-5309-48ad-adf4-d6eafaf13503,ooh,,BlackSpace,"Baywest Mall,, Gqiberha",Static Entrance Gantry Billboard | Outdoor,,,,,,Eastern Cape,Gqeberha (Port Elizabeth) ,Baywest Boulevard Production &,Baywest Boulevard Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Entrance Gantry Billboard | Outdoor,50000,60000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,"896 000 | 4m (h) x 16m (w) = 64m? | PVC | Yes | 22 500
 100 Baywest Boulevard, Hunters","","","","","","","","","","","","","","","",""
ooh_site:c2e676db-4140-4da0-af25-9274b2271ad0,ooh,site,inventory_items_final,c2e676db-4140-4da0-af25-9274b2271ad0,ooh,,BlackSpace,"Baywest Mall,, Gqiberha",Static Revolving Door Panels | Indoor + Outdoor,,,,,,Eastern Cape,Gqeberha (Port Elizabeth) ,Baywest Boulevard Production &,Baywest Boulevard Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Revolving Door Panels | Indoor + Outdoor,8000,10000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,"896 000 | m (h) x m (w) = m? (TBC) | PVC | Yes | 15 000
 100 Baywest Boulevard, Hunters","","","","","","","","","","","","","","","",""
ooh_site:37b71891-ad0b-4195-a527-f57c232bec8b,ooh,site,inventory_items_final,37b71891-ad0b-4195-a527-f57c232bec8b,ooh,,BlackSpace,"Baywest Mall,, Gqiberha",Digital Screen | indoor,,,,,,Eastern Cape,Gqeberha (Port Elizabeth) ,Baywest Boulevard,Baywest Boulevard,eastern-cape,Eastern Cape,,,N/A,,,,Digital Screen | indoor,5000,8000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,"896 000 | 1,9m (h) x 1,6m (w) = 3,04m?","","","","","","","","","","","","","","","",""
ooh_site:98c52c48-ce8f-4b53-9c88-a6cc2d97e92c,ooh,site,inventory_items_final,98c52c48-ce8f-4b53-9c88-a6cc2d97e92c,ooh,,BlackSpace,"Baywest Mall,, Gqiberha",Static Roadside Billboard | Outdoor,,,,,,Eastern Cape,Gqeberha (Port Elizabeth) ,Baywest Boulevard Production &,Baywest Boulevard Production &,eastern-cape,Eastern Cape,,,N/A,,,,Static Roadside Billboard | Outdoor,15000,20000,,,,,,,,true,false,false,true,,,,,,,5 ? 10+,,,,"896 000 | 4m (h) x 18m (w) = 72m? | PVC | Yes | 22 500
 100 Baywest Boulevard, Hunters","","","","","","","","","","","","","","","",""
ooh_site:d5633d89-f86a-4fd7-b70f-7f2743fc10e9,ooh,site,inventory_items_final,d5633d89-f86a-4fd7-b70f-7f2743fc10e9,ooh,,BlackSpace,"Bloed Street Mall,, Pretoria",Static Lift Door Wrap | Indoor,,,,,,Gauteng,Pretoria,CBD,CBD,gauteng,Gauteng,,,N/A,,,,Static Lift Door Wrap | Indoor,4000,8000,,,,,,,,true,false,false,true,,,,,,,5 ? 7+,,,,"980 000 | 1m (h) x 600mm (w) = 0,6m? | Yes | Production & 8 600
 218 Bloed Street, Corner Bloed & Lilian","","","","","","","","","","","","","","","",""
ooh_site:dfdf72bc-d3d3-4370-b61b-f61f37b258b1,ooh,site,inventory_items_final,dfdf72bc-d3d3-4370-b61b-f61f37b258b1,ooh,,BlackSpace,"Bloed Street Mall,, Pretoria",Static Taxi Rank Entrance Banner | Indoor,,,,,,Gauteng,Pretoria,CBD,CBD,gauteng,Gauteng,,,N/A,,,,Static Taxi Rank Entrance Banner | Indoor,10000,15000,,,,,,,,true,false,false,true,,,,,,,5 ? 7+,,,,"980 000 | 2m (h) x 5,5m (w) = 11m? | Yes | Production & 10 500
 218 Bloed Street, Corner Bloed & Lilian","","","","","","","","","","","","","","","",""
ooh_site:8b9f25f4-1763-4374-9342-a66fb9e430fc,ooh,site,inventory_items_final,8b9f25f4-1763-4374-9342-a66fb9e430fc,ooh,,BlackSpace,"Bloed Street Mall,, Pretoria",Static Wall Banner | Indoor,,,,,,Gauteng,Pretoria,CBD,CBD,gauteng,Gauteng,,,N/A,,,,Static Wall Banner | Indoor,4500,8500,,,,,,,,true,false,false,true,,,,,,,5 ? 7+,,,,"980 000 | 2,5m (h) x 4,5m (w) = 11,25m? | Yes | Production & 8 600
 218 Bloed Street, Corner Bloed & Lilian","","","","","","","","","","","","","","","",""
ooh_site:1ccaf38e-af5d-4db2-99c0-ba77b6f44af4,ooh,site,inventory_items_final,1ccaf38e-af5d-4db2-99c0-ba77b6f44af4,ooh,,BlackSpace,"Bloed Street Mall,, Pretoria",Static Wall Banner | Indoor,,,,,,Gauteng,Pretoria,CBD,CBD,gauteng,Gauteng,,,N/A,,,,Static Wall Banner | Indoor,5500,8500,,,,,,,,true,false,false,true,,,,,,,5 ? 7+,,,,"980 000 | 2,75m (h) x 2m (w) = 5,5m? | Yes | Production & 8 500
 218 Bloed Street, Corner Bloed & Lilian","","","","","","","","","","","","","","","",""
