"channel","inventory_row_type","province","city","suburb","area","outlet_name","inventory_name","package_name","slot_label","media_subtype","rate_type","pricing_basis","internal_cost_zar","reference_sell_value_zar","estimated_gross_margin_zar","estimated_gross_margin_percent","raw_rate_zar","cost_zar","investment_zar","cost_per_month_zar","value_zar","inventory_key","source_type"
"ooh","site","Eastern Cape","East London","Cambridge","Cambridge","BlackSpace","Hemingways Mall,, East London","","","Digital Screen | indoor","Digital Screen | indoor","ooh_cost_vs_raw_rate","6000","8000","2000","33.33","8000","6000",,,,"ooh_site:b84a3518-78f1-459e-b042-b31d0a861417","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Exit Wall Banner | indoor","Static Exit Wall Banner | indoor","ooh_cost_vs_raw_rate","6500","8500","2000","30.77","8500","6500",,,,"ooh_site:f6f98ced-a366-4a45-a303-b27b52d7882d","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Parking Wall | Outdoor","Static Parking Wall | Outdoor","ooh_cost_vs_raw_rate","12000","15000","3000","25","15000","12000",,,,"ooh_site:67ed9381-9095-4299-a5a5-d876299f65cf","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Atrium Walls | indoor","Static Atrium Walls | indoor","ooh_cost_vs_raw_rate","5000","8000","3000","60","8000","5000",,,,"ooh_site:6395c523-a039-4522-89ce-3f2b437b0f5c","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Glass Wall Wrap | Outdoor","Static Glass Wall Wrap | Outdoor","ooh_cost_vs_raw_rate","10000","12000","2000","20","12000","10000",,,,"ooh_site:f886d328-add2-47f0-aeb8-0cd0f7b47865","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Elevator Panels | indoor","Static Elevator Panels | indoor","ooh_cost_vs_raw_rate","8000","10000","2000","25","10000","8000",,,,"ooh_site:102b5f70-9108-40af-81fd-1215a3c322a6","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Wall Banners | indoor","Static Wall Banners | indoor","ooh_cost_vs_raw_rate","6000","8000","2000","33.33","8000","6000",,,,"ooh_site:5025da35-d4a3-4fb1-b3cd-11eef60f8466","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Escalator Wrap | indoor","Static Escalator Wrap | indoor","ooh_cost_vs_raw_rate","10000","15000","5000","50","15000","10000",,,,"ooh_site:0c2a5fe8-8ff4-4d61-9351-84adf57b163e","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Lift Wrap | indoor","Static Lift Wrap | indoor","ooh_cost_vs_raw_rate","5500","8500","3000","54.55","8500","5500",,,,"ooh_site:de4dbc49-b3be-4c16-9576-4a8334e4d61b","ooh"
"ooh","site","Eastern Cape","East London","Cambridge Production &","Cambridge Production &","BlackSpace","Hemingways Mall,, East London","","","Static Sky Cube | indoor","Static Sky Cube | indoor","ooh_cost_vs_raw_rate","10000","15000","5000","50","15000","10000",,,,"ooh_site:9d585900-d9b3-4d5e-84f0-46d7329bc5c9","ooh"
