"supplier","site_code","site_name","city","suburb","province","inventory_rows","venue_type","premium_mass_fit","price_positioning_fit","audience_income_fit","youth_fit","family_fit","professional_fit","commuter_fit","tourist_fit","high_value_shopper_fit","audience_age_skew","audience_gender_skew","dwell_time_score","environment_type","buying_behaviour_fit","primary_audience_tags","secondary_audience_tags","recommendation_tags","intelligence_notes","data_confidence","updated_by"
"BlackSpace","","Baywest Mall,, Gqiberha","Gqeberha (Port Elizabeth) ","Baywest Boulevard","Eastern Cape","2","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Baywest Mall,, Gqiberha","Gqeberha (Port Elizabeth) ","Baywest Boulevard Production &","Eastern Cape","4","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Hemingways Mall,, East London","East London","Cambridge","Eastern Cape","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Hemingways Mall,, East London","East London","Cambridge Production &","Eastern Cape","10","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Bloed Street Mall,, Pretoria","Pretoria","CBD","Gauteng","4","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","CBD, Johannesburg","Johannesburg","CBD","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Gandhi Square,, Johannesburg","Johannesburg","Gandhi Square, Marshalltown","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Hyde Park,, Johannesburg","Johannesburg","Hyde Park Corner, Hyde Park","Gauteng","2","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Rosebank,, Johannesburg","Johannesburg","Rosebank Mall, Rosebank","Gauteng","2","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Soweto,, Johannesburg","Johannesburg","DiepKloof, Soweto","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Soweto,, Johannesburg","Johannesburg","Fleufhof, Soweto","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Sunnypark Shopping, Centre, Pretoria","Pretoria","Soshanguve","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Sunnypark Shopping, Centre, Pretoria","Pretoria","Sunnyside","Gauteng","13","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","The Glen Mall,, Johannesburg","Johannesburg","The Glen Mall, Oakdene","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","N2 | Somerset Mall,, Cape Town","Cape Town","Somerset West","Somerset Mall,","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","M43 | Soshanguve, Crossing Mall, Pretoria","Pretoria","Soshanguve","Soshanguve","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","N12 | The Glen,, Johannesburg","Johannesburg","The Glen Mall, Oakdene","The Glen,","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Canal Walk Mall,, Cape Town","Cape Town","Century City","Western Cape","6","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Cape Gate Mall,, Cape Town","Cape Town","Brackenfell","Western Cape","2","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Delft Taxi Rank,, Cape Town","Cape Town","Delft","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Gugulethu Crossing,, Cape Town","Cape Town","Gugulethu","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Langa Taxi Rank,, Cape Town","Cape Town","Langa","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Langa Traffic Circle,, Cape Town","Cape Town","Langa","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
"BlackSpace","","Nonkqubela Taxi, Rank, Cape Town","Cape Town","Khaylitsha","Western Cape","1","","","","","","","","","","","","","","","","","","","","",""
