"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"radio","package","gauteng","Johannesburg","","Johannesburg","regional","regional","YFM 99.2","YFM 99.2 - 100 for 100 - Generics + Digital (4 Weeks)","generic","100 for 100 - Generics + Digital (4 Weeks)","","english","","package","118252.00","","118252.00","","601400.00","","","4","","false","true","radio_package:886d555d-f37b-1c67-fdb6-b0eed18c3da2","radio_package"
"radio","package","gauteng","Johannesburg","","Johannesburg","regional","regional","YFM 99.2","YFM 99.2 - 50 for 50 Package - Generics (4 Weeks)","generic","50 for 50 Package - Generics (4 Weeks)","","english","","package","51374.00","","51374.00","","302200.00","","","4","","false","true","radio_package:de4a431c-6ac2-4bb8-778d-f17d459e5129","radio_package"
"radio","package","gauteng","Johannesburg","","Johannesburg","regional","regional","YFM 99.2","YFM 99.2 - Live Reads + Digital (1 Week)","generic","Live Reads + Digital (1 Week)","","english","","package","22382.00","","22382.00","","120875.00","","","1","","false","true","radio_package:7403d400-0c27-b370-49d2-72b80cbc2054","radio_package"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 00:00-05:00","spot","","00:00-05:00","unknown","30","spot","1290.00","1290.00","","","","","","","","false","true","radio_slot:1f08c0fd-eb4b-e6e7-6886-28c25d37a51a","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 00:00-06:00","spot","","00:00-06:00","unknown","30","spot","1290.00","1290.00","","","","","","","","false","true","radio_slot:859289aa-f8a0-8eaf-fb36-e32b8790fcbc","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 05:00-06:00","spot","","05:00-06:00","unknown","30","spot","1880.00","1880.00","","","","","","","","false","true","radio_slot:1d083042-af9d-7f9c-af8e-e5f877b6a1a8","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 06:00-09:00","spot","","06:00-09:00","unknown","30","spot","3300.00","3300.00","","","","","","","","false","true","radio_slot:9bc7efb0-8392-7cd4-b8bd-43afcc7a7dda","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 06:00-09:00","spot","","06:00-09:00","unknown","30","spot","3300.00","3300.00","","","","","","","","false","true","radio_slot:6c339197-c105-a15f-db84-a8bc57f376c5","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 09:00-12:00","spot","","09:00-12:00","unknown","30","spot","1290.00","1290.00","","","","","","","","false","true","radio_slot:284ba65d-4ad7-854c-d94f-8d09b89adfcb","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - 09:00-12:00","spot","","09:00-12:00","unknown","30","spot","3080.00","3080.00","","","","","","","","false","true","radio_slot:f0cb4c35-1707-1be7-6485-b593c257ed56","radio_slot"
