station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
5FM,station,,,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,,,,radio_5fm|station,radio_5fm,radio_station
5FM,slot,01:00-04:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|01:00-04:00,radio_5fm,radio_slot
5FM,slot,04:00-06:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|04:00-06:00,radio_5fm,radio_slot
5FM,slot,06:00-07:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|06:00-07:00,radio_5fm,radio_slot
5FM,slot,07:00-08:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|07:00-08:00,radio_5fm,radio_slot
5FM,slot,08:00-09:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|08:00-09:00,radio_5fm,radio_slot
5FM,slot,09:00-12:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|09:00-12:00,radio_5fm,radio_slot
5FM,slot,12:00-15:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|12:00-15:00,radio_5fm,radio_slot
5FM,slot,15:00-16:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|15:00-16:00,radio_5fm,radio_slot
5FM,slot,16:00-17:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|16:00-17:00,radio_5fm,radio_slot
5FM,slot,17:00-18:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|17:00-18:00,radio_5fm,radio_slot
5FM,slot,18:00-19:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|18:00-19:00,radio_5fm,radio_slot
