station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Channel Africa,station,,,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R1,200–R2,000 per 30"" spot (SABC small-station tier); sponsorship from R15,000/week | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_channel_africa|station,radio_channel_africa,radio_station
Channel Africa,slot,00:00-03:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|00:00-03:00,radio_channel_africa,radio_slot
Channel Africa,slot,03:00-06:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|03:00-06:00,radio_channel_africa,radio_slot
Channel Africa,slot,06:00-09:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|06:00-09:00,radio_channel_africa,radio_slot
Channel Africa,slot,09:00-12:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|09:00-12:00,radio_channel_africa,radio_slot
Channel Africa,slot,12:00-13:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|12:00-13:00,radio_channel_africa,radio_slot
Channel Africa,slot,13:00-14:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|13:00-14:00,radio_channel_africa,radio_slot
Channel Africa,slot,14:00-17:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|14:00-17:00,radio_channel_africa,radio_slot
Channel Africa,slot,17:00-18:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|17:00-18:00,radio_channel_africa,radio_slot
Channel Africa,slot,19:00-20:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|19:00-20:00,radio_channel_africa,radio_slot
Channel Africa,slot,20:00-21:00,weekday,,"24/7 shortwave + digital; multilingual (English, French, Swahili, Portuguese, Chinyanja)",national,national,,english; french; portuguese; kiswahili; chinyanja,Pan-African / beyond-SA audience,25-54,Balanced,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,international; Africa,,,,,,,radio_channel_africa|slot|weekday|20:00-21:00,radio_channel_africa,radio_slot
