station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Ligwalagwala FM,station,,,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R4,500–R6,500 per 30"" spot; Drive (16:00–18:00): R3,500–R5,000 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_ligwalagwala_fm|station,radio_ligwalagwala_fm,radio_station
Ligwalagwala FM,slot,03:00-05:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|03:00-05:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,05:00-06:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|05:00-06:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,06:00-09:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|06:00-09:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,09:00-10:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|09:00-10:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,10:00-12:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|10:00-12:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,12:00-15:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|12:00-15:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,15:00-17:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|15:00-17:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,17:00-18:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|17:00-18:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,18:00-19:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|18:00-19:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,19:00-21:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|19:00-21:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,21:00-24:00,weekday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|weekday|21:00-24:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,00:00-03:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|00:00-03:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,03:00-06:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|03:00-06:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,06:00-07:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|06:00-07:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,07:00-09:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|07:00-09:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,09:00-10:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|09:00-10:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,10:00-12:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|10:00-12:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,12:00-14:30,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|12:00-14:30,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,14:30-18:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|14:30-18:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,18:00-21:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|18:00-21:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,21:00-24:00,saturday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|saturday|21:00-24:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,00:00-03:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|00:00-03:00,radio_ligwalagwala_fm,radio_slot
