station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
RSG,station,,,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R6,000–R9,000 per 30"" spot; Drive (16:00–18:00): R5,000–R7,500 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_rsg|station,radio_rsg,radio_station
RSG,slot,05:00-06:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|05:00-06:00,radio_rsg,radio_slot
RSG,slot,06:00-07:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|06:00-07:00,radio_rsg,radio_slot
RSG,slot,07:00-09:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|07:00-09:00,radio_rsg,radio_slot
RSG,slot,09:00-12:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|09:00-12:00,radio_rsg,radio_slot
RSG,slot,12:00-13:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|12:00-13:00,radio_rsg,radio_slot
RSG,slot,13:00-15:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|13:00-15:00,radio_rsg,radio_slot
RSG,slot,15:00-18:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|15:00-18:00,radio_rsg,radio_slot
RSG,slot,18:00-19:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|18:00-19:00,radio_rsg,radio_slot
RSG,slot,19:00-21:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|19:00-21:00,radio_rsg,radio_slot
RSG,slot,21:00-24:00,weekday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|weekday|21:00-24:00,radio_rsg,radio_slot
RSG,slot,05:00-06:00,saturday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|saturday|05:00-06:00,radio_rsg,radio_slot
RSG,slot,06:00-10:00,saturday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|saturday|06:00-10:00,radio_rsg,radio_slot
RSG,slot,10:00-12:00,saturday,,24/7 national FM; Afrikaans-language public broadcaster,national,national,,afrikaans,"Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo",Adults 15+,Balanced,LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; Afrikaans; talk; music; news,,,,,,,radio_rsg|slot|saturday|10:00-12:00,radio_rsg,radio_slot
