"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"tv","slot","national","","","national","national","national","SABC 1","SABC 1 - 18:30-19:00","Amalanga Awafani","","18:30-19:00","unknown","30","Amalanga Awafani","110000.00","110000.00","","","","","","","","true","true","tv_slot:0cac48ca-e477-876c-507b-fc60aea99168","tv_slot"
"tv","slot","national","","","national","national","national","SABC 1","SABC 1 - 19:30-20:00","Skeem Saam S13","","19:30-20:00","unknown","30","Skeem Saam S13","130000.00","130000.00","","","","","","","","true","true","tv_slot:d79fa073-8fd6-e6e0-4195-609a2296ca6a","tv_slot"
"tv","slot","national","","","national","national","national","SABC 1","SABC 1 - 20:00-20:30","Generation The Legacy","","20:00-20:30","unknown","30","Generation The Legacy","140000.00","140000.00","","","","","","","","true","true","tv_slot:9ae80e2e-aaa4-994e-a238-a124eb955436","tv_slot"
"tv","slot","national","","","national","national","national","SABC 1","SABC 1 - 20:00-20:30","Good Men","","20:00-20:30","unknown","30","Good Men","36000.00","36000.00","","","","","","","","true","true","tv_slot:7fc0b3a6-2ae4-9366-0672-9b80eb7da511","tv_slot"
"tv","slot","national","","","national","national","national","SABC 1","SABC 1 - 20:30-21:00","Uzalo S11","","20:30-21:00","unknown","30","Uzalo S11","150000.00","150000.00","","","","","","","","true","true","tv_slot:02851005-3700-38a1-1b84-4cc76fb25872","tv_slot"
"tv","package","national","","","national","national","national","SABC 3","SABC 3 - Weekly SABC 3 & SABC News Channel News Package","generic","Weekly SABC 3 & SABC News Channel News Package","","unknown","","package","105540.00","","105540.00","","238500.00","","30","","","true","true","tv_package:16ff1050-9127-8ec2-2dd4-fabd995beb09","tv_package"
"tv","package","national","","","national","national","national","SABC News Channel","SABC News Channel - 4 Week SABC News Channel Package","generic","4 Week SABC News Channel Package","","unknown","","package","550825.00","","550825.00","","1304000.00","","240","4","","true","true","tv_package:f1544c48-4c0c-a607-e12f-9f85201a4f82","tv_package"
"tv","package","national","","","national","national","national","SABC News Channel","SABC News Channel - Weekly SABC News Channel Only Audience Reach Maximiser","generic","Weekly SABC News Channel Only Audience Reach Maximiser","","unknown","","package","129540.00","","129540.00","","331500.00","","60","","","true","true","tv_package:2be588c9-a0b7-653b-8868-1059ca73e747","tv_package"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Laduma","","00:00-23:59","unknown","30","Laduma","2886.00","2886.00","","","","","","","","true","true","tv_slot:52f872f2-33b9-bad2-7c80-ae6b539c627f","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Build Up","","00:00-23:59","unknown","30","Build Up","2886.00","2886.00","","","","","","","","true","true","tv_slot:0ccdda1c-ced6-0fcc-0f5e-3102198e7657","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","NBA Lifestyle","","00:00-23:59","unknown","30","NBA Lifestyle","2886.00","2886.00","","","","","","","","true","true","tv_slot:b2ff0727-aa06-2cfa-1c37-fe47d2c208dd","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Playing For The Coach","","00:00-23:59","unknown","30","Playing For The Coach","2886.00","2886.00","","","","","","","","true","true","tv_slot:4ab36dab-d615-7d40-074a-7fb254cc30b8","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","SAFA TV","","00:00-23:59","unknown","30","SAFA TV","2886.00","2886.00","","","","","","","","true","true","tv_slot:5ab38dbf-2d55-85ca-c447-d75977936979","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Redbull Signature","","00:00-23:59","unknown","30","Redbull Signature","2886.00","2886.00","","","","","","","","true","true","tv_slot:6f3d81be-75e5-f3dc-0d05-7097a90694ae","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Magazine","","00:00-23:59","unknown","30","Magazine","2886.00","2886.00","","","","","","","","true","true","tv_slot:cb63fc73-ea3e-9c07-5a1f-c60cdaae760d","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","VS Gaming","","00:00-23:59","unknown","30","VS Gaming","2886.00","2886.00","","","","","","","","true","true","tv_slot:6916caa7-1d12-88f8-06fb-abadf9f28cb4","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Premier League Stories","","00:00-23:59","unknown","30","Premier League Stories","2886.00","2886.00","","","","","","","","true","true","tv_slot:9e72c807-e7ff-d3a5-79d0-5e2c6361ea5c","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Bundesliga Match","","00:00-23:59","unknown","30","Bundesliga Match","2886.00","2886.00","","","","","","","","true","true","tv_slot:289a4436-6ae7-62f5-b833-9f57f4fae607","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Top 14 H/Ls","","00:00-23:59","unknown","30","Top 14 H/Ls","2886.00","2886.00","","","","","","","","true","true","tv_slot:bda2074a-18cc-c475-3723-8661cb2b24af","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Soccerzone Extra","","00:00-23:59","unknown","30","Soccerzone Extra","2886.00","2886.00","","","","","","","","true","true","tv_slot:fc2a35a3-61a7-7f84-c564-932e60963e3e","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","The Greatest Of All Times","","00:00-23:59","unknown","30","The Greatest Of All Times","2886.00","2886.00","","","","","","","","true","true","tv_slot:a811d975-6cd0-7647-ae9f-8160a173f8ba","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","G.O.A.Ts Like Us","","00:00-23:59","unknown","30","G.O.A.Ts Like Us","2886.00","2886.00","","","","","","","","true","true","tv_slot:b7ca22c4-d61c-9a42-2eda-7d3b75a19fda","tv_slot"
