"Inventory ID","Publisher","Publication","Channel","Category","Ad Product","Colour/Type","Billing Unit","Base Rate (R excl VAT)","Currency","VAT Applicable","Region/Run","Specs / Size","Booking Deadline","Material Deadline","Contact","Source"
"ARENA-0001","Arena Holdings","Business Day","Print","Main Body","Main Body","Colour","psccm","355","ZAR","Excl VAT","National","","","","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Business Day 2026 PDF p2-p5"
"ARENA-0002","Arena Holdings","Business Day","Print","Main Body","Main Body","Black & White","psccm","270","ZAR","Excl VAT","National","","","","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Business Day 2026 PDF p2-p5"
"ARENA-0003","Arena Holdings","Business Day","Print","First Section","Front Page Strip 10x8","Solus","Fixed","56800","ZAR","Excl VAT","National","10x8","","","","Business Day 2026 PDF p2-p5"
"ARENA-0004","Arena Holdings","Business Day","Print","First Section","Front Page Strip 10x6","Solus","Fixed","42600","ZAR","Excl VAT","National","10x6","","","","Business Day 2026 PDF p2-p5"
"ARENA-0005","Arena Holdings","Business Day","Print","First Section","Front Page Side Block 18x2","Solus","Fixed","25600","ZAR","Excl VAT","National","18x2","","","","Business Day 2026 PDF p2-p5"
"ARENA-0006","Arena Holdings","Business Day","Print","First Section","Front Page Side Block 26x2","Solus","Fixed","36920","ZAR","Excl VAT","National","26x2","","","","Business Day 2026 PDF p2-p5"
"ARENA-0007","Arena Holdings","Business Day","Print","First Section","Front Page Reverse L Shape","Solus","Fixed","96720","ZAR","Excl VAT","National","10x8 across by 26x6 down","","","","Business Day 2026 PDF p2-p5"
"ARENA-0008","Arena Holdings","Business Day","Print","Notices/Tenders/Auctions/Recruitment","Colour","Colour","psccm","262","ZAR","Excl VAT","National","","2 working days prior","2 working days prior","","Business Day 2026 PDF p3"
"ARENA-0009","Arena Holdings","Business Day","Print","Notices/Tenders/Auctions/Recruitment","Black & White","Black & White","psccm","230","ZAR","Excl VAT","National","","2 working days prior","2 working days prior","","Business Day 2026 PDF p3"
"ARENA-0010","Arena Holdings","Business Day","Print","Legal & Official Notices","Legal Notices Display","Display","psccm","224","ZAR","Excl VAT","National","","","","Legals@arena.africa","Business Day 2026 PDF p4"
"ARENA-0011","Arena Holdings","Business Day","Print","Legal & Official Notices","Notice to creditors","Per advertisement","Fixed","593","ZAR","Excl VAT","National","","","","","Business Day 2026 PDF p4"
"ARENA-0012","Arena Holdings","Business Day","Print","OPI","Tabloid 2 to 8 pages","Insert","Fixed","82027","ZAR","Excl VAT","National","National run","","4 days prior","","Business Day 2026 PDF p5"
"ARENA-0013","Arena Holdings","Business Day","Print","OPI","A4 2 to 8 pages","Insert","Fixed","53795","ZAR","Excl VAT","National","National run","","4 days prior","","Business Day 2026 PDF p5"
"ARENA-0014","Arena Holdings","Business Day","Print","OPI","A5 2 to 8 pages","Insert","Fixed","58593","ZAR","Excl VAT","National","National run; samples required","","4 days prior","","Business Day 2026 PDF p5"
"ARENA-0015","Arena Holdings","Daily Dispatch","Print","Main Body","Main Body","Full Colour","psccm","195","ZAR","Excl VAT","Eastern Cape","","12h00, 2 working days prior","12h00, 1 working day prior","Debbie Bauer | 043 702 2139 | debbieb@dispatch.co.za","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0016","Arena Holdings","Daily Dispatch","Print","Main Body","Main Body","1 Spot Colour","psccm","127","ZAR","Excl VAT","Eastern Cape","","12h00, 2 working days prior","12h00, 1 working day prior","Debbie Bauer | 043 702 2139 | debbieb@dispatch.co.za","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0017","Arena Holdings","Daily Dispatch","Print","Main Body","Main Body","Black & White","psccm","101","ZAR","Excl VAT","Eastern Cape","","12h00, 2 working days prior","12h00, 1 working day prior","Debbie Bauer | 043 702 2139 | debbieb@dispatch.co.za","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0018","Arena Holdings","Daily Dispatch","Print","Special Position","Front Page Ear Space","Fixed","Fixed","5498","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0019","Arena Holdings","Daily Dispatch","Print","Used Vehicles","Used Vehicles","Black & White","psccm","86","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0020","Arena Holdings","Daily Dispatch","Print","Property","Estate Agents","Display","psccm","32","ZAR","Excl VAT","Eastern Cape","Quarter, half and full pages only","","","","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0021","Arena Holdings","Daily Dispatch","Print","Company Reports & Financial Notices","Company Reports","Full Colour","psccm","250","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0022","Arena Holdings","Daily Dispatch","Print","Company Reports & Financial Notices","Company Reports","1 Spot Colour","psccm","208","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0023","Arena Holdings","Daily Dispatch","Print","Company Reports & Financial Notices","Company Reports","Black & White","psccm","166","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p2-p4"
"ARENA-0024","Arena Holdings","Daily Dispatch","Print","Legal Notices & Tenders","Legal/Tenders","Full Colour","psccm","225","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0025","Arena Holdings","Daily Dispatch","Print","Legal Notices & Tenders","Legal/Tenders","1 Spot Colour","psccm","151","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0026","Arena Holdings","Daily Dispatch","Print","Legal Notices & Tenders","Legal/Tenders","Black & White","psccm","135","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0027","Arena Holdings","Daily Dispatch","Print","Auctions","Auctions","Full Colour","psccm","206","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0028","Arena Holdings","Daily Dispatch","Print","Auctions","Auctions","1 Spot Colour","psccm","109","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0029","Arena Holdings","Daily Dispatch","Print","Auctions","Auctions","Black & White","psccm","101","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0030","Arena Holdings","Daily Dispatch","Print","Employment","Employment","Full Colour","psccm","213","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0031","Arena Holdings","Daily Dispatch","Print","Employment","Employment","1 Spot Colour","psccm","144","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0032","Arena Holdings","Daily Dispatch","Print","Employment","Employment","Black & White","psccm","111","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0033","Arena Holdings","Daily Dispatch","Print","Employment","Employment","Workwise national combo","psccm","348","ZAR","Excl VAT","Eastern Cape","","","","","Daily Dispatch 2026 PDF p3"
"ARENA-0034","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","951","ZAR","Excl VAT","Eastern Cape","4 to 8","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0035","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1001","ZAR","Excl VAT","Eastern Cape","8 to 16","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0036","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1102","ZAR","Excl VAT","Eastern Cape","16 to 24","","","","Daily Dispatch 2026 PDF p4"
